,Wealth_Index_PI_OLS,Wealth_Index_PI_KNN,Wealth_Index_PI_LSTM,Wealth_Index_PI_Portfolio
2023-07-31,63.48268015599764,3773.979036965568,182007.0893096698,546.0740638149866
2023-08-31,61.180970535405656,4020.1513896717647,193879.20437594567,541.8754544278489
2023-09-30,60.41882031517049,4379.585919696007,211213.59652977742,567.6553605838011
2023-10-31,60.82251381925619,4510.450489353596,210961.6261068219,565.9793377047293
2023-11-30,59.20588185898593,4964.401891819066,255918.78006928935,642.2933021457317
2023-12-31,55.664140351934655,5181.100032580482,282656.14056505467,689.8168215761137
2024-01-31,55.15008244917847,5609.625206478358,306034.43301786715,705.4080654870554
2024-02-29,55.24903214346254,5497.416866670018,335847.59822028916,724.130828080891
2024-03-31,50.768604231300394,5236.394243346103,346010.17358898494,717.5423876241969
2024-04-30,50.03203847343387,6053.121192570447,399977.81245326874,750.6927078837454
2024-05-31,50.477433390968685,5925.888033841666,385846.9778989389,720.3882337225459
2024-06-30,51.618990539915366,5833.998525567878,406407.6874287001,746.6892742083257
